tip	date	distance	residual
EPI-ISL-479800_Asia_Japan_L_19A_B.12_2020-01-20	2020.051912568306	4.5371587163599313E-4	2.4082907125987118E-4
EPI-ISL-501220_Asia_Malaysia_L_19A_B.12_2020-02-25	2020.1502732240438	4.2143747163599316E-4	1.4417442405597009E-4
EPI-ISL-812836_Africa_Egypt_L_19A_B_2020-06-11	2020.4426229508197	4.90101371635993E-4	2.1497811533294654E-5
EPI-ISL-812810_Africa_Egypt_O_19A_B_2020-08-02	2020.5846994535518	4.90104871635993E-4	-7.148660109461186E-5
EPI-ISL-812802_Africa_Egypt_L_19A_B_2020-08-02	2020.5846994535518	4.214055716359931E-4	-1.4018590109461172E-4
Wuhan-Hu-1_Asia_China_L_19A_B_2019-12-26	2019.9835616438356	3.505594716359932E-4	1.824077940315709E-4
EPI-ISL-404895_NorthAmerica_USA_S_19B_A_2020-01-19	2020.049180327869	4.550594716359932E-4	2.4396090034889932E-4
EPI-ISL-424871_NorthAmerica_USA_S_19B_A.1_2020-03-06	2020.1775956284152	5.241472716359931E-4	2.2900193316613318E-4
EPI-ISL-1517392_NorthAmerica_CostaRica_S_19B_A.1_2020-05-25	2020.396174863388	7.29905871635993E-4	2.917022060461061E-4
EPI-ISL-516650_SouthAmerica_Ecuador_S_19B_A.1_2020-07-22	2020.5546448087432	6.948377716359931E-4	1.5291681888425317E-4
EPI-ISL-437615_Asia_Thailand_S_19B_A.6_2020-02-22	2020.1420765027322	5.57650171635993E-4	2.857518113230542E-4
EPI-ISL-412028_Asia_HongKong_S_19B_A_2020-01-22	2020.0573770491803	5.90217471635993E-4	3.7375421308203695E-4
EPI-ISL-416429_Asia_Vietnam_S_19B_A_2020-02-11	2020.1120218579235	5.919720716359931E-4	3.3974423130191925E-4
ABBOTT-SN-CHRT-0126_Africa_Senegal_S_19A_A_2020-07-01	2020.4972677595629	6.966840716359931E-4	1.9231592975339903E-4
ABBOTT-SN-TH-TIV-1181_Africa_Senegal_O_19A_A_2020-08-07	2020.5983606557377	5.29965771635993E-4	-4.0566846539530224E-5
EPI-ISL-407894_Oceania_Australia_S_19B_A_2020-01-28	2020.0737704918033	4.6392177163599306E-4	2.367291385478684E-4
EPI-ISL-515181_Africa_Ghana_S_19B_A.11_2020-03-22	2020.22131147541	5.32041971635993E-4	2.0828496774212774E-4
EPI-ISL-480789_Africa_Senegal_S_19B_A.11_2020-04-01	2020.2486338797814	5.66116771635993E-4	2.2447747685206884E-4
EPI-ISL-515096_Africa_Ghana_S_19B_A.11_2020-05-24	2020.3934426229507	7.07415371635993E-4	2.7099993513535626E-4
EPI-ISL-1255109_Africa_Ghana_S_19B_A.11_2020-08-20	2020.6338797814208	8.467263716359928E-4	2.5294677530354845E-4
EPI-ISL-487448_Africa_Mali_S_19B_A_2020-04-06	2020.2622950819673	4.979783716359931E-4	1.4739793140715047E-4
EPI-ISL-487449_Africa_Mali_S_19B_A_2020-04-06	2020.2622950819673	5.674900716359931E-4	2.1690963140715046E-4
EPI-ISL-614348_Africa_CotedIvoire_S_19B_A_2020-05-30	2020.4098360655737	6.02435671635993E-4	1.5529086060140978E-4
EPI-ISL-487456_Africa_Mali_S_19B_A.21_2020-04-10	2020.2732240437158	5.33787971635993E-4	1.7605461505126006E-4
EPI-ISL-660456_Africa_BurkinaFaso_S_19B_A.21_2020-09-12	2020.6967213114754	9.554367716359929E-4	3.205279062565685E-4
EPI-ISL-660473_Africa_BurkinaFaso_S_19B_A.21_2020-11-03	2020.8387978142077	0.0011270785716359928	3.991817936286619E-4
EPI-ISL-660466_Africa_BurkinaFaso_S_19B_A.21_2020-09-25	2020.7322404371585	9.536770716359928E-4	2.9552122809964733E-4
EPI-ISL-660460_Africa_BurkinaFaso_S_19B_A.21_2020-09-16	2020.707650273224	0.0011261548716359926	4.840930899004559E-4
ABBOTT-SN-IR4-000972_Africa_Senegal_S_19B_A.21_2021-01-03	2021.0054794520547	0.0010926425716359927	2.5565402068417E-4
ABBOTT-SN-IR1-0015705_Africa_Senegal_S_19B_A.21_2020-12-31	2020.9972677595629	0.0014476645716359929	6.16050506466809E-4
EPI-ISL-487465_Africa_Mali_S_19B_A.21_2020-04-14	2020.2841530054645	4.997429716359931E-4	1.3485669869514778E-4
EPI-ISL-487463_Africa_Mali_S_19B_A.21_2020-04-14	2020.2841530054645	5.99873471635993E-4	2.3498719869514766E-4
EPI-ISL-515182_Africa_Ghana_S_19B_A_2020-03-27	2020.2349726775956	4.944343716359931E-4	1.617362222972094E-4
EPI-ISL-681840_Africa_CotedIvoire_S_19B_A.18_2020-08-05	2020.5928961748634	7.364883716359929E-4	1.695322116383038E-4
EPI-ISL-614393_Africa_CotedIvoire_S_19B_A.1_2020-09-04	2020.6748633879781	7.364038716359929E-4	1.1580083896857126E-4
EPI-ISL-614386_Africa_CotedIvoire_S_19B_A.18_2020-08-12	2020.6120218579235	7.025373716359931E-4	1.2306360801532935E-4
EPI-ISL-416415_Oceania_Australia_S_19B_A_2020-02-08	2020.103825136612	4.926653716359931E-4	2.4580221856900354E-4
EPI-ISL-1293351_Africa_Togo_S_19B_A_2020-03-20	2020.2158469945355	5.278185716359931E-4	2.0763802592018397E-4
EPI-ISL-476833_Africa_Benin_S_19B_A_2020-03-17	2020.207650273224	5.31729671635993E-4	2.1691381318704613E-4
EPI-ISL-977357_Africa_Zambia_S_19B_A_2020-04-07	2020.2650273224044	5.33500571635993E-4	1.811319023181223E-4
EPI-ISL-738010_Africa_Uganda_S_19B_A.25_2020-07-04	2020.5054644808743	6.741831716359929E-4	1.644503424863146E-4
EPI-ISL-738011_Africa_Uganda_S_19B_A.25_2020-07-04	2020.5054644808743	6.42048971635993E-4	1.3231614248631468E-4
EPI-ISL-737939_Africa_Uganda_S_19B_A.25_2020-07-15	2020.535519125683	7.482577716359931E-4	2.188544225074498E-4
EPI-ISL-954241_Africa_Uganda_S_19B_A.25_2020-08-19	2020.6311475409836	8.155939716359928E-4	2.2360260439235446E-4
EPI-ISL-1469329_Africa_Uganda_S_19B_A.25_2020-09-07	2020.6830601092897	9.534861716359928E-4	3.275184517014868E-4
EPI-ISL-737974_Africa_Uganda_S_19B_A.25_2020-07-24	2020.5601092896175	6.76405071635993E-4	1.3090766070641892E-4
EPI-ISL-737980_Africa_Uganda_S_19B_A.25_2020-08-26	2020.6502732240438	7.801224716359928E-4	1.7561350076937988E-4
EPI-ISL-738006_Africa_Uganda_S_19B_A.25_2020-08-26	2020.6502732240438	8.152280716359929E-4	2.1071910076937998E-4
EPI-ISL-737945_Africa_Uganda_S_19B_A.25_2020-08-14	2020.6174863387978	7.13480671635993E-4	1.3043044983749512E-4
EPI-ISL-1469339_Africa_Uganda_S_19B_A.25_2020-11-09	2020.8551912568305	8.891482716359929E-4	1.5052211909471547E-4
EPI-ISL-738022_Africa_Uganda_S_19B_A.25_2020-08-21	2020.636612021858	7.13339971635993E-4	1.1777214621452056E-4
EPI-ISL-738000_Africa_Uganda_S_19B_A.25_2020-08-25	2020.6475409836066	7.830840716359929E-4	1.8036332985840807E-4
EPI-ISL-737997_Africa_Uganda_S_19B_A.25_2020-08-24	2020.6448087431695	7.08079171635993E-4	1.0714665894743624E-4
EPI-ISL-737975_Africa_Uganda_O_19B_A.25_2020-07-27	2020.568306010929	6.72869371635993E-4	1.2200727343933469E-4
EPI-ISL-737976_Africa_Uganda_S_19B_A.25_2020-07-28	2020.5710382513662	6.72886471635993E-4	1.2023614435030658E-4
EPI-ISL-737940_Africa_Uganda_S_19B_A.25_2020-08-27	2020.6530054644809	8.140078716359929E-4	2.077106716803519E-4
EPI-ISL-737990_Africa_Uganda_S_19B_A.25_2020-09-05	2020.6775956284152	7.43863871635993E-4	1.2147260987954321E-4
EPI-ISL-737985_Africa_Uganda_S_19B_A_2020-08-26	2020.6502732240438	8.11098771635993E-4	2.0658980076938003E-4
EPI-ISL-738016_Africa_Uganda_S_19B_A.23_2020-08-14	2020.6174863387978	9.947158716359927E-4	4.116656498374949E-4
EPI-ISL-737991_Africa_Uganda_S_19B_A.23_2020-08-15	2020.620218579235	9.64373771635993E-4	3.7953532074846703E-4
EPI-ISL-738002_Africa_Uganda_S_19B_A.23_2020-08-15	2020.620218579235	9.964868716359928E-4	4.116484207484668E-4
EPI-ISL-1469426_Africa_Uganda_S_19B_A.23_2020-10-29	2020.8251366120219	0.0010997297716359928	3.807741390735803E-4
EPI-ISL-1469365_Africa_Uganda_S_19B_A.23_2020-11-14	2020.8688524590164	0.0011348659716359927	3.872986736495748E-4
EPI-ISL-737993_Africa_Uganda_S_19B_A.23_2020-08-15	2020.620218579235	9.28716471635993E-4	3.43878020748467E-4
EPI-ISL-738001_Africa_Uganda_S_19B_A.23_2020-08-15	2020.620218579235	9.62603371635993E-4	3.77764920748467E-4
EPI-ISL-954239_Africa_Uganda_S_19B_A.23_2020-08-15	2020.620218579235	9.64376371635993E-4	3.7953792074846705E-4
EPI-ISL-925883_Africa_Rwanda_S_19B_A.23.1_2020-10-21	2020.8032786885246	0.0012268315716359925	5.221817717855827E-4
EPI-ISL-1302677_Africa_Rwanda_S_19B_A.23.1_2021-01-04	2021.0082191780823	0.0011914608716359926	3.526791923372536E-4
EPI-ISL-1301783_Africa_Rwanda_S_19B_A.23.1_2021-01-15	2021.0383561643835	0.0011923962716359926	3.3389018052295E-4
EPI-ISL-1301778_Africa_Rwanda_S_19B_A.23.1_2021-01-19	2021.0493150684931	0.0012276015716359925	3.6192296713572847E-4
EPI-ISL-925856_Africa_Rwanda_S_19B_A.23.1_2020-12-04	2020.9234972677596	0.0011575463716359926	3.74214491869679E-4
EPI-ISL-1301787_Africa_Rwanda_S_19B_A.23.1_2021-01-04	2021.0082191780823	0.0012982685716359927	4.594868923372536E-4
EPI-ISL-1301771_Africa_Rwanda_S_19B_A.23.1_2021-01-06	2021.013698630137	0.0012630592716359925	4.2069133564386486E-4
EPI-ISL-925885_Africa_Rwanda_S_19B_A.23.1_2021-01-11	2021.027397260274	0.0011945568716359926	3.4322329390994925E-4
EPI-ISL-925915_Africa_Rwanda_S_19B_A.23.1_2021-01-02	2021.0027397260274	0.0011575465716359926	3.223511490310863E-4
EPI-ISL-1301764_Africa_Rwanda_S_19B_A.23.1_2021-01-04	2021.0082191780823	0.0012273530716359925	3.885713923372535E-4
EPI-ISL-1301775_Africa_Rwanda_S_19B_A.23.1_2021-01-18	2021.0465753424658	0.0011575291716359926	2.936436954826449E-4
EPI-ISL-1302678_Africa_Rwanda_S_19B_A.23.1_2021-01-22	2021.0575342465754	0.0012273477716359927	3.5628978209542366E-4
EPI-ISL-925851_Africa_Rwanda_S_19B_A.23.1_2020-12-15	2020.9535519125684	0.0012642138716359925	4.612114718905919E-4
EPI-ISL-925852_Africa_Rwanda_S_19B_A.23.1_2020-12-15	2020.9535519125684	0.0012642138716359925	4.612114718905919E-4
EPI-ISL-1301794_Africa_Rwanda_S_19B_A.23.1_2021-02-13	2021.1178082191782	0.0011927495716359926	2.822427584663722E-4
EPI-ISL-1301788_Africa_Rwanda_S_19B_A.23.1_2021-01-04	2021.0082191780823	0.0011610716716359925	3.222899923372535E-4
EPI-ISL-925912_Africa_Rwanda_S_19B_A.23.1_2021-01-07	2021.0164383561644	0.0011610873716359925	3.169263072971705E-4
EPI-ISL-1301777_Africa_Rwanda_S_19B_A.23.1_2021-01-15	2021.0383561643835	0.0011610719716359926	3.0256588052295E-4
EPI-ISL-1302676_Africa_Rwanda_S_19B_A.23.1_2021-01-15	2021.0383561643835	0.0013007753716359927	4.4226928052295005E-4
EPI-ISL-925914_Africa_Rwanda_S_19B_A.23.1_2021-01-08	2021.0191780821917	0.0011593052716359926	3.1335107895025423E-4
EPI-ISL-1301782_Africa_Rwanda_S_19B_A.23.1_2021-01-19	2021.0493150684931	0.0011271606716359926	2.6148206713572856E-4
EPI-ISL-1301789_Africa_Rwanda_S_19B_A.23.1_2021-01-04	2021.0082191780823	0.0011557571716359926	3.169754923372536E-4
EPI-ISL-1302667_Africa_Rwanda_S_19B_A.23.1_2021-01-19	2021.0493150684931	0.0012256907716359925	3.600121671357285E-4
EPI-ISL-1301785_Africa_Rwanda_S_19B_A.23.1_2021-01-21	2021.054794520548	0.0011504603716359927	2.8119551044211797E-4
EPI-ISL-1301773_Africa_Rwanda_S_19B_A.23.1_2021-01-11	2021.027397260274	0.0012536351716359927	4.023015939099493E-4
EPI-ISL-1469394_Africa_Uganda_S_19B_A.23.1_2020-12-11	2020.9426229508197	0.0011845059716359926	3.886564882467044E-4
EPI-ISL-1302666_Africa_Rwanda_S_19B_A.23.1_2021-01-04	2021.0082191780823	0.0011862201716359925	3.474384923372535E-4
